State,Primary,Upper Primary,Secondary,Senior Secondary,GDP_per_Capita
Arunachal Pradesh,10.89,6.71,17.11,18.42,112718.0
Chhattisgarh,1.42,5.85,21.26,2.76,86860.0
Goa,0.2,0.07,11.15,13.91,271793.0
Gujarat,0.76,6.41,25.04,7.04,141263.0
Haryana,0.41,5.81,15.89,5.75,164077.0
Himachal Pradesh,0.46,0.87,6.07,7.41,147330.0
Jharkhand,6.41,8.99,24.0,3.41,62091.0
Karnataka,2.32,3.85,26.18,1.96,145141.0
Maharashtra,0.55,1.79,12.87,1.83,152853.0
Mizoram,12.96,4.78,21.88,6.91,97687.0
Nagaland,19.41,7.92,18.23,6.97,89607.0
Puducherry,0.66,0.56,12.19,4.5,175701.0
Punjab,1.29,3.22,8.86,5.83,126606.0
Sikkim,4.57,1.57,15.89,11.76,240274.0
Telangana,5.81,2.3,15.53,0.77,139035.0
Tripura,3.58,1.99,28.42,8.93,77358.0
Uttar Pradesh,7.08,2.7,10.22,2.1,49450.0
Uttarakhand,3.07,1.19,10.4,3.01,153076.0
