,GSDP - CURRENT PRICES (` in Crore) 2011-12,GSDP - CURRENT PRICES (` in Crore) 2012-13,GSDP - CURRENT PRICES (` in Crore) 2013-14,GSDP - CURRENT PRICES (` in Crore) 2014-15,GSDP - CURRENT PRICES (` in Crore) 2015-16,(% Growth over previous year) 2012-13,(% Growth over previous year) 2013-14,(% Growth over previous year) 2014-15,(% Growth over previous year) 2015-16,Average growth though 2013-16
Tamil Nadu,751485.0,855481.0,971090.0,1092564.0,1212668.0,13.84,13.51,12.51,10.99,12.336666666666666
Uttar Pradesh,724049.0,822903.0,944146.0,1043371.0,1153795.0,13.65,14.73,10.51,10.58,11.94
Karnataka,603778.0,691700.0,817886.0,921788.0,1027068.0,14.56,18.24,12.7,11.42,14.12
Gujarat,615606.0,724495.0,807623.0,895027.0,994316.0,17.69,11.47,10.82,11.09,11.126666666666665
Andhra Pradesh ,379402.0,411404.0,464272.0,526468.0,609934.0,8.43,12.85,13.4,15.85,14.033333333333333
Kerala,364048.0,412313.0,465041.0,526002.0,588337.0,13.26,12.79,13.11,11.85,12.583333333333334
Telangana,359433.0,401493.0,452186.0,511178.0,575631.0,11.7,12.63,13.05,12.61,12.763333333333334
Delhi,343767.0,391238.0,443783.0,492424.0,551963.0,13.81,13.43,10.96,12.09,12.160000000000002
Madhya Pradesh,315561.0,380924.0,437737.0,481982.0,543975.0,20.71,14.91,10.11,12.86,12.626666666666665
Haryana,297539.0,347032.0,400662.0,437462.0,485184.0,16.63,15.45,9.18,10.91,11.846666666666666
Bihar,247144.0,282368.0,317101.0,373920.0,413503.0,14.25,12.3,17.92,10.59,13.603333333333333
Odisha,227872.0,258275.0,291709.0,321971.0,341887.0,13.34,12.95,10.37,6.19,9.836666666666668
Chhattisgarh,158074.0,177511.0,206690.0,234982.0,260776.0,12.3,16.44,13.69,10.98,13.703333333333333
Jharkhand,150918.0,174724.0,188567.0,217107.0,241955.0,15.77,7.92,15.14,11.44,11.5
Assam,143175.0,156864.0,177745.0,198098.0,224234.0,9.56,13.31,11.45,13.19,12.649999999999999
Uttarakhand,115523.0,131835.0,149817.0,161985.0,184091.0,14.12,13.64,8.12,13.65,11.803333333333333
Jammu & Kashmir,78254.0,87105.0,95893.0,100404.0,118387.0,11.31,10.09,4.7,17.91,10.9
Goa,42367.0,38120.0,35921.0,40633.0,45002.0,-10.02,-5.77,13.12,10.75,6.033333333333334
Chandigarh,18768.0,21609.0,24787.0,27844.0,30304.0,15.14,14.71,12.33,8.84,11.959999999999999
Meghalaya,19918.0,21872.0,22938.0,24408.0,26745.0,9.81,4.87,6.41,9.58,6.953333333333333
Puducherry,16818.0,18875.0,21870.0,24089.0,26533.0,12.23,15.87,10.14,10.15,12.053333333333333
Arunachal Pradesh,11063.0,12547.0,14602.0,16761.0,18784.0,13.41,16.38,14.79,12.07,14.413333333333332
Sikkim,11165.0,12338.0,13862.0,15209.0,16637.0,10.51,12.35,9.72,9.39,10.486666666666666
